id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
28219525,New Orleans Tiny Collection,70806258,Nate,Not Specified,Pontchartrain Park,30.0249,-90.03498,Entire Home/Apt,$181.00,2,8,1/14/2020,0.34,3,364,New Orleans
1814279,Urban Jungle In Bedford Stuyvesant,6841194,Eric,Brooklyn,Bushwick,40.68909,-73.9173,Entire Home/Apt,$126.00,30,269,3/15/2020,3.27,2,173,New York City
40291260,Cozy Townhouse,44500713,Allan,Not Specified,Unincorporated Areas,36.12036,-115.25957,Entire Home/Apt,$250.00,20,0,,0,15,358,Clark County
314368,2Br North Beach - Perfect For Business Or Leisure,1229762,Jason,Not Specified,North Beach,37.80345,-122.40798,Entire Home/Apt,$600.00,1,43,2/27/2020,1.54,2,176,San Francisco
6000726,Stylish 1Bd Coach House In The City,19134284,Jonah,Not Specified,Avondale,41.93583,-87.69361,Entire Home/Apt,$93.00,3,135,8/25/2020,2.09,1,156,Chicago
20567491,Luxury Two Bedroom Condo On The Beach,137309769,Henry,Not Specified,Hollywood,25.99664,-80.11784,Entire Home/Apt,$110.00,14,2,8/16/2019,0.19,1,358,Broward County
41796196,Waimea Music Studio Cottage,34799250,Jessica,Hawaii,South Kohala,20.0287,-155.66577,Entire Home/Apt,$70.00,1,0,,0,2,0,Hawaii
27554072,Amazing Studio In Prime Hollywood Area W/Dt View,203636534,Tania Tuck,City Of Los Angeles,Hollywood Hills,34.10798,-118.32603,Entire Home/Apt,$57.00,30,136,1/3/2020,6.08,1,123,Los Angeles
44087172,Beach In Beach Out,8159961,Jasmine,Not Specified,Mission Bay,32.77982,-117.25235,Entire Home/Apt,$125.00,4,0,,0,1,64,San Diego
1433011,"Location, Location! Awesome Place In Great Area.",4687340,Sandra,Not Specified,Russian Hill,37.80347,-122.42119,Entire Home/Apt,$129.00,1,8,5/2/2020,0.09,2,331,San Francisco
42437972,South Williamsburg Loft Share,10085003,Elisabeth,Brooklyn,Williamsburg,40.70772,-73.95344,Shared Room,$165.00,1,0,,0,1,89,New York City
23447340,Dharma Jersey City Enticing 2Br + City Views,173227890,Dharma,Not Specified,Ward E (Councilmember James Solomon),40.7136,-74.03639,Entire Home/Apt,$400.00,1,7,9/2/2020,0.39,22,17,Jersey City
21096393,The Cuddlefish Inn,152102792,Frank,Not Specified,Ocean Beach,32.74097,-117.24875,Private Room,$90.00,2,67,2/26/2020,2.25,1,213,San Diego
39871721,Nice Place In Brooklyn,65979198,Marc,Brooklyn,Williamsburg,40.70904,-73.9431,Shared Room,$80.00,1,0,,0,1,90,New York City
21578796,Flexible Cancellation. Has A/C. Taxes Included. Walk To Safeway Supermarket And Restaurants,39174467,Kauai,Kauai,Kapaa-Wailua,22.06133,-159.32065,Entire Home/Apt,$159.00,3,20,12/29/2019,0.61,24,363,Hawaii
43504973,Alohause Wall St Terrific Room + Gym + Roof,336064553,Jose,Manhattan,Financial District,40.70625,-74.00572,Private Room,$69.00,30,0,,0,44,321,New York City
4803817,Redwood Retreat,24748533,Mateo,Not Specified,Unincorporated Areas,37.04022,-122.07775,Entire Home/Apt,$110.00,2,504,6/28/2020,7.53,1,272,Santa Cruz County
2495693,This Beachy Townhome Is A Shore Thing!,8735628,Cindy,Not Specified,Mission Bay,32.7748,-117.2524,Entire Home/Apt,$300.00,3,21,6/14/2020,0.29,28,8,San Diego
23880926,The Alley Cat,167822237,Mark,Not Specified,District 6,36.18431,-86.7473,Entire Home/Apt,$80.00,2,25,8/30/2020,3.81,1,147,Nashville
29338399,Private Floor In Soho Loft With 11Ft Ceilings,102542851,Nathan,Manhattan,Soho,40.72706,-74.00572,Private Room,$109.00,4,0,,0,1,0,New York City
13358603,Pool! Rent A Room (Queen Bed) With Access To Pool,60918330,Michael,Not Specified,District 12,36.16301,-86.59175,Private Room,$40.00,3,0,,0,2,0,Nashville
41677201,"Whole Private House, Hosts Up To 11. Rv Welcome",261982309,Joao,Not Specified,West Park,25.98479,-80.18504,Entire Home/Apt,$201.00,2,2,2/16/2020,0.41,8,365,Broward County
2874467,Navy Pier Experience At Ellis Place,2465946,Becky John,Not Specified,Oakland,41.82872,-87.60826,Private Room,$53.00,1,194,2/16/2020,2.5,4,352,Chicago
33563052,Private Guest Suite In Mission-Style Denver Duplex,602040,Jill,Not Specified,South Park Hill,39.74019,-104.93165,Entire Home/Apt,$125.00,2,1,6/28/2020,1,1,79,Denver
43567939,"Mit, Harvard. Top 2-Room Studio",190111214,Zamira,Not Specified,Cambridgeport,42.3605,-71.10704,Private Room,$93.00,32,0,,0,7,1,Cambridge
17328657,"Ultra Spacious Home Away From Home W/Free Wifi, Full Kitchenwaikiki Shore 718",116465695,Castle Waikiki Shore,Honolulu,Primary Urban Center,21.2786,-157.83296,Entire Home/Apt,$434.00,2,2,8/7/2018,0.07,61,258,Hawaii
